batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VTH_V
34332,2S,EE,Perugia,Left,20.0,20.0,4.132
34332,2S,WW,Perugia,Right,20.0,20.0,4.141
34332,2S,WW,Perugia,Left,20.0,20.0,3.974
34332,2S,EE,Perugia,Right,20.0,20.0,4.127
34332,2S,EE,Perugia,Left,20.0,20.0,4.134
34332,2S,WW,Perugia,Left,20.0,20.0,3.983
34332,2S,WW,Perugia,Right,20.0,20.0,4.091
34332,2S,EE,Perugia,Left,20.0,20.0,4.054
34332,2S,EE,Perugia,Right,20.0,20.0,4.088
34332,2S,WW,Perugia,Right,20.0,20.0,4.058
34332,2S,WW,Perugia,Left,20.0,20.0,3.931
34332,2S,EE,Perugia,Left,20.0,20.0,4.034
34332,2S,EE,Perugia,Right,20.0,20.0,4.045
34332,2S,WW,Perugia,Left,20.0,20.0,3.925
34332,2S,WW,Perugia,Right,20.0,20.0,4.017
34332,2S,EE,Perugia,Left,20.0,20.0,3.972
34332,2S,EE,Perugia,Right,20.0,20.0,3.962
34332,2S,WW,Perugia,Right,20.0,20.0,3.962
34332,2S,WW,Perugia,Left,20.0,20.0,3.915
34332,2S,EE,Perugia,Right,20.0,20.0,4.1
34332,2S,WW,Perugia,Right,20.0,20.0,4.16
34332,2S,WW,Perugia,Left,20.0,20.0,3.821
34332,2S,EE,Perugia,Right,20.0,20.0,4.171
34332,2S,EE,Perugia,Left,20.0,20.0,4.171
34332,2S,WW,Perugia,Left,20.0,20.0,3.931
34332,2S,WW,Perugia,Right,20.0,20.0,4.133
34332,2S,EE,Perugia,Left,20.0,20.0,4.106
34332,2S,EE,Perugia,Right,20.0,20.0,4.132
34332,2S,WW,Perugia,Left,20.0,20.0,3.675
34332,2S,WW,Perugia,Right,20.0,20.0,4.098
34332,2S,EE,Perugia,Right,20.0,20.0,4.085
34332,2S,EE,Perugia,Left,20.0,20.0,4.074
34332,2S,WW,Perugia,Left,20.0,20.0,3.826
34332,2S,WW,Perugia,Right,20.0,20.0,4.084
34346,2S,EE,Perugia,Right,20.0,20.0,3.909
34346,2S,WW,Perugia,Left,20.0,20.0,3.882
34346,2S,WW,Perugia,Right,20.0,20.0,3.858
34346,2S,EE,Perugia,Right,20.0,20.0,3.809
34346,2S,EE,Perugia,Left,20.0,20.0,3.791
34346,2S,WW,Perugia,Left,20.0,20.0,3.751
34346,2S,WW,Perugia,Right,20.0,20.0,3.748
34346,2S,EE,Perugia,Left,20.0,20.0,3.797
34346,2S,EE,Perugia,Right,20.0,20.0,3.798
34346,2S,WW,Perugia,Left,20.0,20.0,3.776
34346,2S,WW,Perugia,Right,20.0,20.0,3.791
34346,2S,EE,Perugia,Left,20.0,20.0,3.711
34346,2S,EE,Perugia,Right,20.0,20.0,3.759
34346,2S,WW,Perugia,Left,20.0,20.0,3.703
34346,2S,EE,Perugia,Left,20.0,20.0,3.76
34346,2S,EE,Perugia,Right,20.0,20.0,3.828
34346,2S,WW,Perugia,Right,20.0,20.0,3.778
34346,2S,WW,Perugia,Left,20.0,20.0,3.79
34346,2S,EE,Perugia,Left,20.0,20.0,3.656
34346,2S,EE,Perugia,Right,20.0,20.0,3.719
34346,2S,WW,Perugia,Right,20.0,20.0,3.68
34346,2S,WW,Perugia,Left,20.0,20.0,3.67
34346,2S,EE,Perugia,Right,20.0,20.0,3.884
34346,2S,EE,Perugia,Left,20.0,20.0,3.864
34346,2S,WW,Perugia,Right,20.0,20.0,3.891
34346,2S,WW,Perugia,Left,20.0,20.0,3.877
34346,2S,EE,Perugia,Right,20.0,20.0,3.82
34346,2S,EE,Perugia,Left,20.0,20.0,3.779
34346,2S,WW,Perugia,Right,20.0,20.0,3.805
34346,2S,WW,Perugia,Left,20.0,20.0,3.817
34346,2S,EE,Perugia,Right,20.0,20.0,3.801
34346,2S,EE,Perugia,Left,20.0,20.0,3.81
34346,2S,WW,Perugia,Right,20.0,20.0,3.824
34346,2S,WW,Perugia,Left,20.0,20.0,3.833
34346,2S,EE,Perugia,Right,20.0,20.0,3.944
34346,2S,EE,Perugia,Left,20.0,20.0,3.92
34346,2S,EE,Perugia,Right,20.0,20.0,3.97
34346,2S,WW,Perugia,Left,20.0,20.0,3.955
34348,2S,EE,Perugia,Left,20.0,20.0,4.092
34348,2S,WW,Perugia,Left,20.0,20.0,3.174
34348,2S,EE,Perugia,Left,20.0,20.0,4.057
34348,2S,EE,Perugia,Left,20.0,20.0,4.032
34348,2S,WW,Perugia,Left,20.0,20.0,3.105
34348,2S,EE,Perugia,Left,20.0,20.0,4.105
34348,2S,EE,Perugia,Left,20.0,20.0,4.105
34348,2S,EE,Perugia,Left,20.0,20.0,4.105
34348,2S,WW,Perugia,Left,20.0,20.0,2.973
34348,2S,EE,Perugia,Left,20.0,20.0,4.135
34348,2S,WW,Perugia,Left,20.0,20.0,2.979
34348,2S,EE,Perugia,Left,20.0,20.0,4.139
34348,2S,WW,Perugia,Left,20.0,20.0,2.994
34348,2S,EE,Perugia,Left,20.0,20.0,4.143
34348,2S,WW,Perugia,Left,20.0,20.0,2.932
34348,2S,EE,Perugia,Left,20.0,20.0,4.182
34348,2S,WW,Perugia,Left,20.0,20.0,3.269
34348,2S,EE,Perugia,Left,20.0,20.0,4.257
34348,2S,WW,Perugia,Left,20.0,20.0,3.538
34348,2S,WW,Perugia,Left,20.0,20.0,3.384
34348,2S,EE,Perugia,Left,20.0,20.0,4.162
34348,2S,WW,Perugia,Left,20.0,20.0,3.629
34348,2S,WW,Perugia,Left,20.0,20.0,1.764
34348,2S,EE,Perugia,Left,20.0,20.0,4.314
34348,2S,WW,Perugia,Left,20.0,20.0,2.706
34331,2S,EE,Brown,Right,20.0,20.064,4.108
34331,2S,EE,Brown,Left,20.0,20.106,4.073
34331,2S,WW,Brown,Left,20.0,20.101,4.046
34331,2S,WW,Brown,Right,20.0,20.091,4.06
34331,2S,EE,Brown,Right,20.0,20.154,4.167
34331,2S,WW,Brown,Right,20.0,20.029,4.104
34331,2S,EE,Brown,Right,20.0,20.077,4.106
34331,2S,WW,Brown,Right,20.0,20.111,4.082
34331,2S,EE,Brown,Right,20.0,20.031,4.056
34331,2S,WW,Brown,Right,20.0,20.06,4.066
34331,2S,EE,Brown,Right,20.0,20.101,4.082
34331,2S,WW,Brown,Right,20.0,20.13,4.045
34331,2S,EE,Brown,Right,20.0,20.033,4.066
34331,2S,WW,Brown,Right,20.0,20.024,4.088
34331,2S,EE,Brown,Right,20.0,20.071,4.09
34331,2S,WW,Brown,Right,20.0,20.099,4.074
34331,2S,EE,Brown,Right,20.0,20.006,4.078
34331,2S,WW,Brown,Right,20.0,20.011,4.091
34331,2S,EE,Brown,Right,20.0,20.046,4.047
34331,2S,WW,Brown,Right,20.0,20.079,4.085
34331,2S,EE,Brown,Right,20.0,20.005,4.047
34331,2S,WW,Brown,Right,20.0,20.002,4.037
34331,2S,EE,Brown,Right,20.0,20.003,4.035
34331,2S,WW,Brown,Right,20.0,20.003,4.07
34331,2S,EE,Brown,Right,20.0,20.012,4.139
34331,2S,WW,Brown,Right,20.0,20.001,4.155
34331,2S,EE,Brown,Right,20.0,20.004,4.14
34331,2S,WW,Brown,Right,20.0,20.003,4.135
34331,2S,EE,Brown,Right,20.0,20.014,4.16
34331,2S,WW,Brown,Right,20.0,20.034,4.158
34331,2S,EE,Brown,Right,20.0,20.097,4.158
34331,2S,WW,Brown,Right,20.0,20.128,4.132
34331,2S,EE,Brown,Left,20.0,20.149,4.113
34331,2S,WW,Brown,Right,20.0,20.039,4.128
34331,2S,EE,Brown,Right,20.0,20.089,4.137
34331,2S,WW,Brown,Right,20.0,20.117,4.122
34331,2S,EE,Brown,Right,20.0,20.067,4.144
34331,2S,WW,Brown,Right,20.0,20.035,4.135
34331,2S,EE,Brown,Right,20.0,20.069,4.094
34331,2S,WW,Brown,Right,20.0,20.104,4.08
34340,PSS,EE,Brown,Right,20.0,20.107,3.906
34340,PSS,WW,Brown,Right,20.0,20.009,3.937
34340,PSS,EE,Brown,Right,20.0,20.025,3.962
34340,PSS,WW,Brown,Right,20.0,20.04,3.989
34340,PSS,EE,Brown,Right,20.0,20.066,3.927
34340,PSS,WW,Brown,Right,20.0,20.004,3.964
34340,PSS,EE,Brown,Right,20.0,20.018,3.847
34340,PSS,WW,Brown,Right,20.0,20.021,3.933
34340,PSS,EE,Brown,Right,20.0,20.147,3.923
34340,PSS,WW,Brown,Right,20.0,20.008,3.986
34340,PSS,EE,Brown,Right,20.0,20.03,3.89
34340,PSS,WW,Brown,Right,20.0,20.056,3.967
34340,PSS,EE,Brown,Right,20.0,20.097,3.949
34340,PSS,WW,Brown,Right,20.0,20.005,3.976
34340,PSS,EE,Brown,Right,20.0,20.022,3.949
34340,PSS,WW,Brown,Right,20.0,20.051,4.004
34340,PSS,EE,Brown,Right,20.0,20.082,3.945
34340,PSS,WW,Brown,Right,20.0,20.009,3.977
34340,PSS,EE,Brown,Right,20.0,20.029,3.949
34340,PSS,WW,Brown,Right,20.0,20.049,3.959
34340,PSS,EE,Brown,Right,20.0,20.156,3.936
34340,PSS,WW,Brown,Right,20.0,20.004,4.021
34340,PSS,EE,Brown,Right,20.0,20.02,3.959
34340,PSS,WW,Brown,Right,20.0,20.074,3.988
34340,PSS,EE,Brown,Right,20.0,20.143,3.923
34340,PSS,WW,Brown,Right,20.0,20.004,3.988
34340,PSS,EE,Brown,Right,20.0,20.024,3.897
34340,PSS,WW,Brown,Right,20.0,20.053,3.999
34340,PSS,EE,Brown,Right,20.0,20.006,3.946
34340,PSS,WW,Brown,Right,20.0,20.005,4.001
34340,PSS,EE,Brown,Right,20.0,20.03,3.935
34340,PSS,WW,Brown,Right,20.0,20.067,3.996
34340,PSS,EE,Brown,Right,20.0,20.016,3.94
34254,PSS,EE,Brown,Right,20.0,20.17,4.051
34254,PSS,WW,Brown,Right,20.0,20.011,4.083
34254,PSS,EE,Brown,Right,20.0,20.033,4.034
34254,PSS,WW,Brown,Right,20.0,20.061,4.045
34254,PSS,EE,Brown,Right,20.0,20.122,4.024
34254,PSS,WW,Brown,Right,20.0,20.015,4.04
34254,PSS,EE,Brown,Right,20.0,20.034,4.006
34254,PSS,WW,Brown,Right,20.0,20.069,4.076
34254,PSS,EE,Brown,Right,20.0,20.129,4.014
34254,PSS,WW,Brown,Right,20.0,20.013,4.029
34254,PSS,EE,Brown,Right,20.0,20.049,4.015
34254,PSS,WW,Brown,Right,20.0,20.082,4.082
34254,PSS,EE,Brown,Right,20.0,20.019,4.029
34254,PSS,WW,Brown,Right,20.0,20.004,4.08
34254,PSS,EE,Brown,Right,20.0,20.006,3.997
34254,PSS,WW,Brown,Right,20.0,20.011,4.03
34254,PSS,EE,Brown,Right,20.0,20.148,4.04
34254,PSS,WW,Brown,Right,20.0,20.002,4.049
34254,PSS,EE,Brown,Right,20.0,20.008,4.01
34254,PSS,WW,Brown,Right,20.0,20.007,4.04
34254,PSS,EE,Brown,Right,20.0,20.015,4.017
34254,PSS,WW,Brown,Right,20.0,20.003,4.044
34254,PSS,EE,Brown,Right,20.0,20.012,4.017
34254,PSS,WW,Brown,Right,20.0,20.026,4.06
34254,PSS,EE,Brown,Right,20.0,20.059,3.914
34254,PSS,WW,Brown,Right,20.0,20.002,3.984
34254,PSS,EE,Brown,Right,20.0,20.011,3.983
34254,PSS,WW,Brown,Right,20.0,20.02,4.028
34254,PSS,EE,Brown,Right,20.0,20.14,4.038
34254,PSS,WW,Brown,Right,20.0,20.003,4.034
34254,PSS,EE,Brown,Right,20.0,20.009,3.972
34254,PSS,WW,Brown,Right,20.0,20.022,4.027
34254,PSS,EE,Brown,Right,20.0,20.15,4.039
34254,PSS,WW,Brown,Right,20.0,20.003,4.062
34254,PSS,EE,Brown,Right,20.0,20.009,3.987
34254,PSS,WW,Brown,Right,20.0,20.012,4.067
34254,PSS,EE,Brown,Right,20.0,20.143,3.946
34254,PSS,WW,Brown,Right,20.0,20.006,4.094
34254,PSS,EE,Brown,Right,20.0,20.017,3.948
34254,PSS,WW,Brown,Right,20.0,20.027,4.103
34254,PSS,EE,Brown,Right,20.0,20.095,4.088
34254,PSS,WW,Brown,Right,20.0,20.006,4.116
34254,PSS,EE,Brown,Right,20.0,20.016,4.064
34254,PSS,WW,Brown,Right,20.0,20.014,4.095
34254,PSS,EE,Brown,Right,20.0,20.008,4.083
34254,PSS,WW,Brown,Right,20.0,20.02,4.113
34254,PSS,EE,Brown,Right,20.0,20.052,4.087
34254,PSS,WW,Brown,Right,20.0,20.084,4.107
34254,PSS,EE,Brown,Right,20.0,20.044,3.982
34254,PSS,WW,Brown,Right,20.0,20.004,4.058
34254,PSS,EE,Brown,Right,20.0,20.013,4.014
34254,PSS,WW,Brown,Right,20.0,20.014,4.047
34254,PSS,EE,Brown,Right,20.0,20.132,4.016
34254,PSS,WW,Brown,Right,20.0,20.002,4.063
34254,PSS,EE,Brown,Right,20.0,20.012,4.03
34254,PSS,WW,Brown,Right,20.0,20.015,4.072
34340,PSS,WW,Brown,Right,20.0,20.013,4.0
34340,PSS,EE,Brown,Right,20.0,20.037,3.926
34340,PSS,WW,Brown,Right,20.0,20.065,4.003
34340,PSS,EE,Brown,Right,20.0,20.151,3.91
34340,PSS,WW,Brown,Right,20.0,20.009,3.922
34340,PSS,EE,Brown,Right,20.0,20.042,3.863
34340,PSS,WW,Brown,Right,20.0,20.078,3.962
34354,2S,EE,Perugia,Left,20.0,20.0,3.769
34354,2S,EE,Perugia,Left,20.0,20.0,3.796
34354,2S,EE,Perugia,Left,20.0,20.0,3.832
34354,2S,WW,Perugia,Left,20.0,20.0,3.787
34352,2S,EE,Perugia,Left,20.0,20.0,4.2
34352,2S,EE,Perugia,Left,20.0,20.0,4.2
34352,2S,EE,Perugia,Left,20.0,20.0,4.2
34352,2S,EE,Perugia,Left,20.0,20.0,4.2
34352,2S,EE,Perugia,Left,20.0,20.0,4.2
34352,2S,EE,Perugia,Left,20.0,20.0,4.2
34352,2S,EE,Perugia,Left,20.0,20.0,4.2
34352,2S,EE,Perugia,Left,20.0,20.0,4.2
34352,2S,EE,Perugia,Left,20.0,20.0,4.2
34352,2S,WW,Perugia,Left,20.0,20.0,3.45
34352,2S,EE,Perugia,Left,20.0,20.0,4.158
34352,2S,WW,Perugia,Left,20.0,20.0,3.355
34352,2S,EE,Perugia,Left,20.0,20.0,4.207
34352,2S,WW,Perugia,Left,20.0,20.0,3.344
34352,2S,EE,Perugia,Left,20.0,20.0,4.135
34352,2S,WW,Perugia,Left,20.0,20.0,3.402
34352,2S,EE,Perugia,Left,20.0,20.0,4.121
34352,2S,WW,Perugia,Left,20.0,20.0,3.55
34353,2S,EE,Brown,Left,20.0,20.023,4.133
34353,2S,WW,Brown,Right,20.0,20.024,4.133
34353,2S,EE,Brown,Right,20.0,20.063,4.016
34353,2S,WW,Brown,Right,20.0,20.095,4.051
34353,2S,EE,Brown,Right,20.0,20.067,3.999
34353,2S,WW,Brown,Right,20.0,20.031,4.072
34353,2S,EE,Brown,Right,20.0,20.071,3.999
34353,2S,WW,Brown,Right,20.0,20.106,4.071
34353,2S,EE,Brown,Right,20.0,20.092,3.952
34353,2S,WW,Brown,Right,20.0,20.046,3.989
34353,2S,EE,Brown,Right,20.0,20.076,3.939
34353,2S,WW,Brown,Right,20.0,20.099,3.952
34353,2S,EE,Brown,Right,20.0,20.06,4.083
34353,2S,WW,Brown,Right,20.0,20.022,4.09
34353,2S,EE,Brown,Right,20.0,20.059,4.067
34353,2S,WW,Brown,Right,20.0,20.095,4.095
34353,2S,EE,Brown,Right,20.0,20.066,4.062
34353,2S,WW,Brown,Right,20.0,20.034,4.096
34353,2S,EE,Brown,Right,20.0,20.063,4.052
34353,2S,WW,Brown,Right,20.0,20.087,4.116
34353,2S,EE,Brown,Right,20.0,20.001,4.137
34353,2S,WW,Brown,Right,20.0,20.002,4.152
34353,2S,EE,Brown,Right,20.0,20.013,4.128
34353,2S,WW,Brown,Right,20.0,20.015,4.118
34353,2S,EE,Brown,Right,20.0,20.018,4.049
34353,2S,WW,Brown,Right,20.0,20.004,4.046
34353,2S,EE,Brown,Right,20.0,20.018,4.057
34353,2S,WW,Brown,Right,20.0,20.02,4.031
34353,2S,EE,Brown,Right,20.0,20.01,4.016
34353,2S,WW,Brown,Right,20.0,20.004,4.056
34353,2S,EE,Brown,Right,20.0,20.01,4.069
34353,2S,WW,Brown,Right,20.0,20.011,4.076
34357,2S,EE,Perugia,Left,20.0,20.0,4.315
34357,2S,WW,Perugia,Left,20.0,20.0,3.775
34357,2S,EE,Perugia,Left,20.0,20.0,4.274
34357,2S,WW,Perugia,Left,20.0,20.0,3.72
34357,2S,EE,Perugia,Left,20.0,20.0,4.287
34357,2S,WW,Perugia,Left,20.0,20.0,3.772
34357,2S,EE,Perugia,Left,20.0,20.0,4.416
34357,2S,WW,Perugia,Left,20.0,20.0,3.857
34357,2S,EE,Perugia,Left,20.0,20.0,4.351
34357,2S,WW,Perugia,Left,20.0,20.0,3.833
34357,2S,EE,Perugia,Left,20.0,20.0,4.274
34357,2S,WW,Perugia,Left,20.0,20.0,3.67
34357,2S,EE,Perugia,Left,20.0,20.0,4.322
34357,2S,WW,Perugia,Left,20.0,20.0,3.817
34357,2S,EE,Perugia,Left,20.0,20.0,4.374
34357,2S,WW,Perugia,Left,20.0,20.0,3.901
34357,2S,WW,Perugia,Left,20.0,20.0,3.901
34357,2S,EE,Perugia,Left,20.0,20.0,4.288
34357,2S,WW,Perugia,Left,20.0,20.0,3.889
34357,2S,EE,Perugia,Left,20.0,20.0,4.243
34357,2S,WW,Perugia,Left,20.0,20.0,3.888
34357,2S,EE,Perugia,Left,20.0,20.0,3.013
34357,2S,EE,Perugia,Left,20.0,20.0,3.013
34357,2S,EE,Perugia,Left,20.0,20.0,4.45
34357,2S,EE,Perugia,Left,20.0,20.0,4.338
34354,2S,EE,Perugia,Left,20.0,20.0,3.803
34354,2S,WW,Perugia,Left,20.0,20.0,3.789
34354,2S,EE,Perugia,Left,20.0,20.0,3.757
34354,2S,WW,Perugia,Left,20.0,20.0,3.73
34354,2S,EE,Perugia,Left,20.0,20.0,3.77
34354,2S,WW,Perugia,Left,20.0,20.0,3.725
34354,2S,EE,Perugia,Left,20.0,20.0,3.791
34354,2S,WW,Perugia,Left,20.0,20.0,3.726
34354,2S,EE,Perugia,Left,20.0,20.0,3.755
34354,2S,WW,Perugia,Left,20.0,20.0,3.732
34354,2S,EE,Perugia,Left,20.0,20.0,3.707
34354,2S,WW,Perugia,Left,20.0,20.0,3.736
34354,2S,EE,Perugia,Left,20.0,20.0,3.68
34354,2S,WW,Perugia,Left,20.0,20.0,3.707
34354,2S,EE,Perugia,Left,20.0,20.0,3.677
34354,2S,WW,Perugia,Left,20.0,20.0,3.715
34354,2S,EE,Perugia,Left,20.0,20.0,3.595
34354,2S,WW,Perugia,Left,20.0,20.0,3.698
34354,2S,EE,Perugia,Left,20.0,20.0,3.937
34354,2S,WW,Perugia,Left,20.0,20.0,3.864
34354,2S,EE,Perugia,Left,20.0,20.0,3.969
34354,2S,WW,Perugia,Left,20.0,20.0,3.876
34354,2S,EE,Perugia,Left,20.0,20.0,3.932
34354,2S,WW,Perugia,Left,20.0,20.0,3.889
34354,2S,EE,Perugia,Left,20.0,20.0,3.907
34354,2S,WW,Perugia,Left,20.0,20.0,3.828
34354,2S,EE,Perugia,Left,20.0,20.0,3.912
34354,2S,WW,Perugia,Left,20.0,20.0,3.82
34354,2S,EE,Perugia,Left,20.0,20.0,3.888
34354,2S,WW,Perugia,Left,20.0,20.0,3.806
34354,2S,EE,Perugia,Left,20.0,20.0,3.907
34354,2S,WW,Perugia,Left,20.0,20.0,3.841
34354,2S,EE,Perugia,Left,20.0,20.0,3.869
34354,2S,WW,Perugia,Left,20.0,20.0,3.845
34354,2S,EE,Perugia,Left,20.0,20.0,3.889
34354,2S,WW,Perugia,Left,20.0,20.0,3.794
34354,2S,EE,Perugia,Left,20.0,20.0,3.858
34354,2S,EE,Perugia,Left,20.0,20.0,3.899
34354,2S,EE,Perugia,Left,20.0,20.0,3.884
34354,2S,WW,Perugia,Left,20.0,20.0,3.818
34357,2S,EE,Perugia,Left,20.0,20.0,4.387
34357,2S,WW,Perugia,Left,20.0,20.0,3.781
34357,2S,EE,Perugia,Left,20.0,20.0,4.401
34357,2S,WW,Perugia,Left,20.0,20.0,3.579
34357,2S,EE,Perugia,Left,20.0,20.0,4.328
34357,2S,WW,Perugia,Left,20.0,20.0,3.113
34359,2S,EE,Brown,Right,20.0,20.002,3.204
34359,2S,WW,Brown,Right,20.0,20.003,4.06
34359,2S,EE,Brown,Right,20.0,20.004,3.327
34359,2S,WW,Brown,Right,20.0,20.006,4.028
34359,2S,EE,Brown,Right,20.0,20.111,3.669
34359,2S,WW,Brown,Right,20.0,20.001,4.084
34359,2S,EE,Brown,Right,20.0,20.011,3.734
34359,2S,WW,Brown,Right,20.0,20.008,4.069
34359,2S,EE,Brown,Right,20.0,20.003,3.852
34359,2S,WW,Brown,Right,20.0,20.004,4.038
34359,2S,EE,Brown,Right,20.0,20.009,3.885
34359,2S,WW,Brown,Right,20.0,20.011,4.036
34359,2S,EE,Brown,Right,20.0,20.026,3.849
34359,2S,WW,Brown,Right,20.0,20.003,4.04
34359,2S,EE,Brown,Right,20.0,20.008,3.834
34359,2S,WW,Brown,Right,20.0,20.008,3.982
34359,2S,EE,Brown,Right,20.0,20.002,3.904
34359,2S,WW,Brown,Right,20.0,20.002,4.008
34359,2S,EE,Brown,Right,20.0,20.009,3.915
34359,2S,WW,Brown,Right,20.0,20.011,4.026
34359,2S,EE,Brown,Left,20.0,20.08,3.908
34359,2S,WW,Brown,Right,20.0,20.003,4.036
34359,2S,EE,Brown,Right,20.0,20.012,2.726
34359,2S,WW,Brown,Right,20.0,20.008,4.146
34359,2S,EE,Brown,Left,20.0,20.036,4.052
34359,2S,WW,Brown,Right,20.0,20.061,4.111
34359,2S,EE,Brown,Right,20.0,20.008,3.686
34359,2S,WW,Brown,Right,20.0,20.009,4.126
34341,PSS,EE,Brown,Right,20.0,20.027,3.742
34341,PSS,WW,Brown,Right,20.0,20.067,3.826
34341,PSS,EE,Brown,Right,20.0,20.165,3.637
34341,PSS,WW,Brown,Right,20.0,20.004,3.744
34341,PSS,EE,Brown,Right,20.0,20.022,3.694
34341,PSS,WW,Brown,Right,20.0,20.035,3.763
34341,PSS,EE,Brown,Right,20.0,20.075,3.66
34341,PSS,WW,Brown,Right,20.0,20.101,3.789
34341,PSS,EE,Brown,Right,20.0,20.067,3.727
34341,PSS,WW,Brown,Right,20.0,20.032,3.839
34341,PSS,EE,Brown,Right,20.0,20.071,3.762
34341,PSS,WW,Brown,Right,20.0,20.101,3.889
34341,PSS,EE,Brown,Right,20.0,20.085,3.791
34341,PSS,WW,Brown,Right,20.0,20.036,3.835
34341,PSS,EE,Brown,Right,20.0,20.069,3.772
34341,PSS,WW,Brown,Right,20.0,20.091,3.867
34341,PSS,EE,Brown,Right,20.0,20.108,3.743
34341,PSS,WW,Brown,Right,20.0,20.016,3.786
34341,PSS,EE,Brown,Right,20.0,20.049,3.753
34341,PSS,WW,Brown,Right,20.0,20.078,3.836
34341,PSS,EE,Brown,Right,20.0,20.031,3.778
34341,PSS,WW,Brown,Right,20.0,20.033,3.793
34341,PSS,EE,Brown,Right,20.0,20.072,3.685
34341,PSS,WW,Brown,Right,20.0,20.104,3.774
34341,PSS,EE,Brown,Right,20.0,20.018,3.706
34341,PSS,WW,Brown,Right,20.0,20.015,3.791
34341,PSS,EE,Brown,Right,20.0,20.049,3.857
34341,PSS,WW,Brown,Right,20.0,20.085,3.879
34341,PSS,EE,Brown,Right,20.0,20.02,3.909
34341,PSS,WW,Brown,Right,20.0,20.017,3.948
34341,PSS,EE,Brown,Right,20.0,20.037,3.896
34341,PSS,WW,Brown,Right,20.0,20.064,3.951
34341,PSS,EE,Brown,Right,20.0,20.087,3.901
34341,PSS,WW,Brown,Right,20.0,20.032,3.88
34341,PSS,EE,Brown,Right,20.0,20.068,3.884
